cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12
2010-12,100.0,36.6,32.300000000000004,38.4,36.3,39.800000000000004,36.3,34.9,35.4,39.5,37.4,50.3,26.6
2011-01,100.0,22.1,26.6,23.0,32.1,28.799999999999997,24.7,24.2,30.0,32.6,36.5,11.799999999999999,
2011-02,100.0,18.7,18.7,28.4,27.1,24.7,25.3,27.900000000000002,24.7,30.5,6.800000000000001,,
2011-03,100.0,15.0,25.2,19.900000000000002,22.3,16.8,26.8,23.0,27.900000000000002,8.6,,,
2011-04,100.0,21.3,20.3,21.0,19.7,22.7,21.7,26.0,7.3,,,,
2011-05,100.0,19.0,17.299999999999997,17.299999999999997,20.8,23.200000000000003,26.400000000000002,9.5,,,,,
2011-06,100.0,17.4,15.7,26.400000000000002,23.1,33.5,9.5,,,,,,
2011-07,100.0,18.099999999999998,20.7,22.3,27.1,11.200000000000001,,,,,,,
2011-08,100.0,20.7,24.9,24.3,12.4,,,,,,,,
2011-09,100.0,23.400000000000002,30.099999999999998,11.4,,,,,,,,,
2011-10,100.0,24.0,11.5,,,,,,,,,,
2011-11,100.0,11.1,,,,,,,,,,,
2011-12,100.0,,,,,,,,,,,,
